,year,lgID,teamID,avg_ba
246,2009,AL,NYN,0.2004998855968193
247,2010,AL,SLN,0.20044377834797603
248,2010,AL,MIN,0.20040248317897771
249,2013,AL,WAS,0.20034280255767278
250,2010,AL,NYN,0.19971609190215758
251,2012,AL,KCA,0.19970251175632436
252,2015,AL,MIA,0.19967591320376704
253,2016,AL,COL,0.19957546318778074
254,2009,AL,FLO,0.19953906914825886
255,2004,AL,TBA,0.1995084438592852
256,2010,AL,TOR,0.19933604804528457
257,2007,AL,ATL,0.1989706469069662
258,2004,AL,MON,0.1987203331394097
259,2015,AL,LAA,0.19868260381340724
260,2005,AL,SFN,0.1985329626694642
261,2006,AL,NYA,0.19835907115819387
262,2014,AL,MIN,0.19831214227846397
263,2009,AL,CIN,0.19824918027757316
264,2008,AL,PHI,0.19822636719466083
265,2019,AL,OAK,0.19814485336651153
266,2003,AL,COL,0.19807301072866784
267,2010,AL,MIL,0.19805024992072243
268,2019,AL,LAN,0.19793655850376526
269,2001,AL,CHN,0.19789752539953082
270,2007,AL,NYN,0.19789194386894332
271,2012,AL,CIN,0.1976403562175532
272,2002,AL,NYN,0.1976061186119732
273,2017,AL,BAL,0.19758673688747236
274,2005,AL,MIL,0.19753842314678002
275,2009,AL,SEA,0.19732085763256166
276,2017,AL,KCA,0.19731071994914615
277,2015,AL,OAK,0.19682483306094142
278,2014,AL,WAS,0.19676068065424532
279,2007,AL,SFN,0.196624236164965
280,2008,AL,SLN,0.19651913527534684
281,2001,AL,SLN,0.1964590627554355
282,2014,AL,CHA,0.1962163302383531
283,2004,AL,PIT,0.19619127389786278
284,2016,AL,KCA,0.19596044496950127
285,2001,AL,BOS,0.195920597528824
286,2014,AL,LAA,0.195886449483378
287,2009,AL,LAN,0.1958631585237191
288,2005,AL,TOR,0.19582260203045568
289,2017,AL,SDN,0.19548005935565455
290,2002,AL,MON,0.1954612820778855
291,2019,AL,CIN,0.19544571592501045
292,2005,AL,SEA,0.19540252967369318
293,2004,AL,ANA,0.19532374296969254
294,2009,AL,COL,0.19526178888714948
295,2017,AL,SLN,0.19521090326544843
296,2010,AL,HOU,0.19517867581087034
297,2019,AL,BAL,0.19517215244694475
298,2006,AL,DET,0.1949670456121235
299,2008,AL,TBA,0.19476990590242224
300,2013,AL,CLE,0.19467316394689033
301,2018,AL,PIT,0.19464787261003907
302,2008,AL,DET,0.1942675300095598
303,2002,AL,CHN,0.19416645291877965
304,2018,AL,SFN,0.19414670582210242
305,2016,AL,NYA,0.1938161717231057
306,2014,AL,HOU,0.19362421346913317
307,2017,AL,ARI,0.19358441060960752
308,2014,AL,SLN,0.19343836498790087
309,2015,AL,BOS,0.1934282208429968
310,2004,AL,ATL,0.19342481368083786
311,2015,AL,COL,0.19341839923980064
312,2014,AL,PIT,0.19315347598426036
313,2009,AL,MIL,0.1928621974867642
314,2006,AL,TBA,0.19281315011375508
315,2002,AL,TBA,0.1925340351505924
316,2015,AL,CHN,0.1924786367593334
317,2011,AL,PHI,0.1923701315633544
318,2012,AL,COL,0.19231227312045185
319,2010,AL,DET,0.1920254524862025
320,2008,AL,ARI,0.19191348054001764
321,2015,AL,KCA,0.19186063068310769
322,2010,AL,BAL,0.19170584212963895
323,2007,AL,SDN,0.1915742107335683
324,2018,AL,CHA,0.19153373895113293
325,2016,AL,NYN,0.19128552699690804
326,2005,AL,NYA,0.19126779022411206
327,2013,AL,CHA,0.19125376952566236
328,2001,AL,DET,0.191212496150219
